UF,COD_UF,COD_AREA,COD_IBGE,CIDADE,CAPITAL,PRESTADORA,TCN_2G,TCN_3G,TCN_4G,TCN_5G
Goiás,52,64,5205901,Corumbaíba,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3118106,Congonhas do Norte,NÃO,CLARO,1,1,1,null
Maranhão,21,98,2107506,Paço do Lumiar,NÃO,BRISANET,null,null,1,1
São Paulo,35,19,3509502,Campinas,NÃO,TIM,99,168,221,163
Bahia,29,77,2906105,Canápolis,NÃO,VIVO,1,1,1,null
Minas Gerais,31,35,3132909,Itamogi,NÃO,VIVO,1,1,1,null
Piauí,22,86,2205508,José de Freitas,NÃO,VIVO,2,2,1,null
Rio de Janeiro,33,21,3302700,Maricá,NÃO,TIM,17,19,23,11
Paraná,41,45,4110953,Itaipulândia,NÃO,TIM,3,4,4,null
Minas Gerais,31,33,3139508,Manhumirim,NÃO,CLARO,1,1,1,null
Santa Catarina,42,49,4207650,Iporã do Oeste,NÃO,VIVO,1,2,1,null
Rio Grande do Norte,24,84,2412906,São Tomé,NÃO,TIM,1,null,1,null
Paraíba,25,83,2515708,Serra Grande,NÃO,VIVO,1,1,1,null
Maranhão,21,98,2108603,Pinheiro,NÃO,TIM,2,2,3,null
Minas Gerais,31,32,3136702,Juiz de Fora,NÃO,VIVO,45,70,93,78
Rio Grande do Sul,43,55,4302907,Cacequi,NÃO,CLARO,1,2,2,null
Rio de Janeiro,33,22,3303005,Miracema,NÃO,CLARO,2,3,3,null
Santa Catarina,42,49,4203600,Campos Novos,NÃO,TIM,1,1,2,null
Paraná,41,42,4104451,Cantagalo,NÃO,VIVO,1,3,3,null
Maranhão,21,99,2103802,Dom Pedro,NÃO,VIVO,2,3,4,null
Ceará,23,88,2312304,São Benedito,NÃO,CLARO,2,2,2,null
Mato Grosso,51,65,5103007,Chapada dos Guimarães,NÃO,TIM,5,1,6,null
Rio de Janeiro,33,22,3304151,Quissamã,NÃO,VIVO,3,4,4,2
Minas Gerais,31,34,3134400,Iturama,NÃO,TIM,4,3,4,null
Minas Gerais,31,31,3106309,Belo Oriente,NÃO,TIM,5,3,2,null
Paraíba,25,83,2514305,São José de Caiana,NÃO,TIM,null,1,1,null
Pará,15,94,1503093,Goianésia do Pará,NÃO,VIVO,2,3,3,null
São Paulo,35,14,3519204,Iacri,NÃO,CLARO,1,1,1,null
Alagoas,27,82,2702801,Flexeiras,NÃO,CLARO,2,1,2,null
Maranhão,21,99,2111532,São Pedro da Água Branca,NÃO,CLARO,null,1,1,null
Piauí,22,86,2209872,São João da Fronteira,NÃO,TIM,null,1,1,null
Minas Gerais,31,31,3109600,Cachoeira da Prata,NÃO,CLARO,1,1,1,null
Piauí,22,86,2205516,Juazeiro do Piauí,NÃO,VIVO,1,1,1,null
Ceará,23,88,2305506,Iguatu,NÃO,TIM,4,6,5,1
Bahia,29,75,2927309,Salinas da Margarida,NÃO,VIVO,null,1,3,null
Minas Gerais,31,34,3134400,Iturama,NÃO,ALGAR,7,6,9,4
Espírito Santo,32,27,3205200,Vila Velha,NÃO,VIVO,47,98,119,106
Santa Catarina,42,47,4215679,Santa Terezinha,NÃO,CLARO,1,1,2,null
Paraná,41,46,4116950,Nova Esperança do Sudoeste,NÃO,CLARO,1,1,1,null
Minas Gerais,31,37,3146404,Paineiras,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2512705,Remígio,NÃO,VIVO,null,1,1,null
Piauí,22,89,2200053,Acauã,NÃO,TIM,null,null,1,null
Bahia,29,73,2914901,Itacaré,NÃO,CLARO,1,3,3,null
Ceará,23,88,2313609,Ubajara,NÃO,TIM,2,2,2,1
Minas Gerais,31,34,3129103,Gurinhatã,NÃO,CLARO,2,1,2,null
Pernambuco,26,87,2601102,Araripina,NÃO,BRISANET,null,null,6,3
São Paulo,35,14,3539400,Piratininga,NÃO,CLARO,2,1,2,null
Ceará,23,85,2303006,Caridade,NÃO,CLARO,1,1,1,null
Minas Gerais,31,34,3148004,Patos de Minas,NÃO,CLARO,21,16,26,null
São Paulo,35,15,3505351,Barra do Chapéu,NÃO,CLARO,2,1,2,null
Bahia,29,71,2906501,Candeias,NÃO,TIM,14,7,8,5
Pará,15,91,1507474,São João de Pirabas,NÃO,CLARO,5,1,5,null
Rio Grande do Norte,24,84,2413557,Serrinha dos Pintos,NÃO,VIVO,null,null,1,null
São Paulo,35,14,3515400,Fartura,NÃO,TIM,2,2,1,null
São Paulo,35,16,3547908,Santo Antônio da Alegria,NÃO,ALGAR,2,1,2,null
Bahia,29,75,2914703,Itaberaba,NÃO,CLARO,1,3,2,null
Rio Grande do Sul,43,51,4312476,Morro Reuter,NÃO,TIM,1,1,2,null
Paraíba,25,83,2503209,Cabedelo,NÃO,BRISANET,null,null,4,4
Tocantins,17,63,1703826,Cachoeirinha,NÃO,CLARO,null,1,1,null
São Paulo,35,15,3522653,Itapirapuã Paulista,NÃO,TIM,null,1,1,null
Bahia,29,77,2924306,Piatã,NÃO,TIM,1,2,3,null
Minas Gerais,31,33,3148608,Peçanha,NÃO,VIVO,1,2,2,null
Minas Gerais,31,32,3167509,Simão Pereira,NÃO,VIVO,1,2,2,null
Pernambuco,26,87,2605707,Floresta,NÃO,TIM,2,1,2,null
Santa Catarina,42,48,4215653,Santa Rosa do Sul,NÃO,CLARO,2,2,2,null
Minas Gerais,31,31,3106200,Belo Horizonte,SIM,CLARO,337,458,463,334
Piauí,22,89,2209500,Santo Inácio do Piauí,NÃO,VIVO,null,1,1,null
Rio Grande do Norte,24,84,2401305,Campo Grande,NÃO,VIVO,null,1,null,null
Minas Gerais,31,31,3115409,Catas Altas da Noruega,NÃO,TIM,null,null,1,null
Rio Grande do Sul,43,55,4319406,São Pedro do Sul,NÃO,CLARO,3,1,3,null
Paraíba,25,83,2512721,Pedro Régis,NÃO,TIM,null,null,1,null
Ceará,23,88,2309300,Nova Russas,NÃO,CLARO,2,2,2,null
Minas Gerais,31,38,3141009,Mato Verde,NÃO,CLARO,null,1,1,null
Minas Gerais,31,32,3107208,Bocaina de Minas,NÃO,VIVO,null,1,1,null
Bahia,29,74,2922102,Mundo Novo,NÃO,VIVO,1,1,3,null
Pará,15,93,1508159,Uruará,NÃO,TIM,null,1,3,null
Paraná,41,43,4126009,São Sebastião da Amoreira,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4310306,Ilópolis,NÃO,VIVO,1,1,1,null
Paraná,41,43,4102802,Bela Vista do Paraíso,NÃO,TIM,2,2,2,1
Minas Gerais,31,38,3109204,Buenópolis,NÃO,TIM,1,null,1,null
Alagoas,27,82,2708303,São José da Laje,NÃO,VIVO,1,3,1,null
Minas Gerais,31,32,3124203,Espera Feliz,NÃO,VIVO,1,2,3,null
Rio Grande do Sul,43,51,4301206,Arroio do Tigre,NÃO,CLARO,5,1,5,null
Bahia,29,73,2901957,Apuarema,NÃO,TIM,null,null,1,null
Ceará,23,88,2305902,Ipueiras,NÃO,BRISANET,null,null,5,5
Sergipe,28,79,2805604,Porto da Folha,NÃO,TIM,null,null,1,null
Bahia,29,74,2930204,Sento Sé,NÃO,TIM,3,3,7,null
Alagoas,27,82,2706448,Paripueira,NÃO,VIVO,3,3,2,null
Minas Gerais,31,31,3143708,Morro do Pilar,NÃO,CLARO,1,1,2,null
São Paulo,35,16,3553658,Taquaral,NÃO,TIM,1,2,2,null
Alagoas,27,82,2700706,Batalha,NÃO,VIVO,null,1,1,null
Bahia,29,77,2932606,Urandi,NÃO,CLARO,1,1,1,null
Santa Catarina,42,49,4205209,Erval Velho,NÃO,TIM,1,2,2,null
Bahia,29,77,2930154,Serra do Ramalho,NÃO,VIVO,1,1,2,null
Minas Gerais,31,33,3130903,Inhapim,NÃO,VIVO,1,8,7,null
Minas Gerais,31,38,3162401,São João da Ponte,NÃO,VIVO,1,5,7,null
Paraná,41,44,4105904,Colorado,NÃO,TIM,2,4,4,2
Mato Grosso,51,65,5107958,Tangará da Serra,NÃO,VIVO,10,14,18,12
Maranhão,21,98,2101970,Boa Vista do Gurupi,NÃO,CLARO,null,1,1,null
Goiás,52,62,5203203,Barro Alto,NÃO,CLARO,1,3,3,null
Paraná,41,42,4113304,Laranjeiras do Sul,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2517001,Umbuzeiro,NÃO,VIVO,2,2,2,null
Paraná,41,42,4125100,São João do Triunfo,NÃO,CLARO,1,1,1,null
Ceará,23,88,2304301,Farias Brito,NÃO,VIVO,null,3,3,null
Pará,15,91,1507961,Terra Alta,NÃO,CLARO,2,1,2,1
Rio de Janeiro,33,22,3300704,Cabo Frio,NÃO,CLARO,16,25,25,11
Maranhão,21,99,2105450,Jatobá,NÃO,CLARO,null,1,1,null
Goiás,52,64,5209952,Indiara,NÃO,CLARO,1,1,1,null
Paraná,41,42,4119400,Piraí do Sul,NÃO,TIM,2,3,3,null
Rio Grande do Sul,43,54,4313607,Paim Filho,NÃO,TIM,1,null,1,1
Minas Gerais,31,37,3133501,Itapecerica,NÃO,CLARO,2,1,2,null
São Paulo,35,18,3507704,Braúna,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,51,4303004,Cachoeira do Sul,NÃO,CLARO,6,5,6,null
Alagoas,27,82,2700805,Belém,NÃO,VIVO,null,1,1,null
Minas Gerais,31,31,3122603,Dom Joaquim,NÃO,TIM,null,null,1,null
Minas Gerais,31,32,3162500,São João del Rei,NÃO,VIVO,6,12,22,5
São Paulo,35,13,3526100,Juquiá,NÃO,VIVO,2,4,4,null
Ceará,23,88,2307254,Jijoca de Jericoacoara,NÃO,TIM,2,2,5,1
Mato Grosso do Sul,50,67,5007307,Rio Negro,NÃO,TIM,null,1,1,null
São Paulo,35,11,3523404,Itatiba,NÃO,TIM,13,14,45,2
Minas Gerais,31,35,3120508,Cristina,NÃO,TIM,1,1,1,null
Bahia,29,75,2933406,Wagner,NÃO,VIVO,1,1,1,null
Minas Gerais,31,33,3106606,Bertópolis,NÃO,CLARO,1,null,1,null
São Paulo,35,14,3500550,Águas de Santa Bárbara,NÃO,TIM,8,8,5,null
Paraná,41,43,4101606,Arapoti,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4320404,Serafina Corrêa,NÃO,VIVO,2,2,2,null
Mato Grosso do Sul,50,67,5007901,Sidrolândia,NÃO,VIVO,6,5,6,4
Maranhão,21,99,2105427,Itinga do Maranhão,NÃO,VIVO,1,2,3,null
Bahia,29,75,2907707,Chorrochó,NÃO,CLARO,1,2,1,null
Tocantins,17,63,1715705,Palmeirante,NÃO,TIM,null,null,1,null
Bahia,29,73,2920700,Maraú,NÃO,VIVO,1,4,6,2
Bahia,29,71,2905701,Camaçari,NÃO,TIM,41,26,45,13
Piauí,22,89,2204402,Gilbués,NÃO,TIM,1,1,1,null
Rio Grande do Norte,24,84,2410108,Poço Branco,NÃO,VIVO,1,2,1,null
Rio Grande do Norte,24,84,2410603,Rafael Godeiro,NÃO,TIM,1,1,1,null
São Paulo,35,18,3523008,Itapura,NÃO,VIVO,1,1,1,null
Rio de Janeiro,33,24,3306206,Vassouras,NÃO,VIVO,1,4,4,null
Santa Catarina,42,49,4214151,Princesa,NÃO,UNIFIQUE TELECOMUNICACOES S/A,null,null,1,1
Sergipe,28,79,2802304,Frei Paulo,NÃO,CLARO,3,1,3,null
São Paulo,35,17,3533304,Nova Luzitânia,NÃO,CLARO,2,2,2,null
Minas Gerais,31,37,3117603,Conceição do Pará,NÃO,VIVO,null,1,2,null
Minas Gerais,31,35,3130408,Ijaci,NÃO,CLARO,1,1,1,null
Pernambuco,26,81,2600302,Agrestina,NÃO,CLARO,1,1,1,null
São Paulo,35,15,3541653,Quadra,NÃO,CLARO,2,2,2,null
Rio Grande do Sul,43,54,4304952,Caseiros,NÃO,VIVO,1,1,1,null
Paraná,41,44,4128807,Xambrê,NÃO,TIM,null,2,3,null
Minas Gerais,31,35,3123601,Elói Mendes,NÃO,VIVO,2,2,5,null
São Paulo,35,19,3513900,Divinolândia,NÃO,CLARO,1,null,1,null
Minas Gerais,31,31,3110202,Cajuri,NÃO,VIVO,1,2,2,null
Piauí,22,89,2211506,Vera Mendes,NÃO,VIVO,null,1,1,null
Goiás,52,62,5222203,Vila Boa,NÃO,CLARO,1,1,1,null
Maranhão,21,99,2105989,Lajeado Novo,NÃO,TIM,null,1,1,null
Pernambuco,26,81,2605459,Fernando de Noronha,NÃO,TIM,2,2,6,2
Rio Grande do Sul,43,51,4301107,Arroio dos Ratos,NÃO,TIM,1,null,1,null
Rio Grande do Sul,43,54,4316600,Sananduva,NÃO,VIVO,1,2,2,null
Rio Grande do Sul,43,51,4322855,Vespasiano Corrêa,NÃO,CLARO,1,1,1,null
São Paulo,35,12,3535606,Paraibuna,NÃO,CLARO,7,8,8,null
Rio de Janeiro,33,24,3300225,Areal,NÃO,VIVO,1,1,1,null
Tocantins,17,63,1716208,Paranã,NÃO,TIM,2,2,2,1
Paraná,41,43,4107751,Figueira,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,51,4307815,Estrela Velha,NÃO,CLARO,3,1,3,null
Santa Catarina,42,49,4209177,Jupiá,NÃO,VIVO,null,1,1,null
Goiás,52,64,5200506,Aloândia,NÃO,TIM,null,null,1,null
Bahia,29,75,2920601,Maragogipe,NÃO,CLARO,3,4,3,null
Ceará,23,88,2309904,Pacujá,NÃO,BRISANET,null,null,1,1
Minas Gerais,31,37,3139706,Maravilhas,NÃO,CLARO,1,1,1,null
Bahia,29,75,2904308,Brejões,NÃO,VIVO,1,1,2,null
São Paulo,35,18,3542206,Rancharia,NÃO,VIVO,5,8,9,1
Tocantins,17,63,1709005,Goiatins,NÃO,CLARO,3,3,4,null
Paraná,41,43,4116604,Nova América da Colina,NÃO,CLARO,null,1,1,null
Paraná,41,44,4114807,Marialva,NÃO,VIVO,2,3,4,3
Minas Gerais,31,38,3143450,Montezuma,NÃO,TIM,null,null,1,null
São Paulo,35,15,3553500,Tapiraí,NÃO,VIVO,2,2,2,null
São Paulo,35,19,3500402,Águas da Prata,NÃO,TIM,1,1,1,null
Bahia,29,75,2915908,Itanagra,NÃO,TIM,null,null,1,null
Pernambuco,26,81,2604601,Condado,NÃO,TIM,1,1,1,null
Paraná,41,43,4122909,Salto do Itararé,NÃO,CLARO,1,1,1,null
Pernambuco,26,81,2603504,Camocim de São Félix,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,51,4322533,Vale do Sol,NÃO,TIM,2,null,2,null
Minas Gerais,31,31,3165537,Sarzedo,NÃO,VIVO,3,3,5,3
Rio de Janeiro,33,22,3302403,Macaé,NÃO,TIM,25,30,40,8
Piauí,22,86,2200202,Água Branca,NÃO,TIM,2,2,2,null
Minas Gerais,31,34,3109808,Cachoeira Dourada,NÃO,ALGAR,null,1,null,null
São Paulo,35,17,3515509,Fernandópolis,NÃO,TIM,8,8,11,null
Minas Gerais,31,35,3133105,Itanhandu,NÃO,CLARO,1,1,1,null
Ceará,23,85,2301000,Aquiraz,NÃO,BRISANET,null,null,9,9
São Paulo,35,12,3549607,São José do Barreiro,NÃO,CLARO,2,1,2,null
Minas Gerais,31,31,3167202,Sete Lagoas,NÃO,TIM,34,16,23,4
São Paulo,35,14,3500550,Águas de Santa Bárbara,NÃO,CLARO,4,3,4,null
Minas Gerais,31,34,3111408,Campo Florido,NÃO,CLARO,3,2,3,null
Rio Grande do Sul,43,54,4309951,Ibirapuitã,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4320404,Serafina Corrêa,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3153905,Raposos,NÃO,VIVO,1,1,1,null
Paraná,41,43,4121901,Ribeirão do Pinhal,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4323200,Victor Graeff,NÃO,CLARO,1,1,1,null
Pernambuco,26,87,2610806,Pedra,NÃO,CLARO,1,1,1,null
São Paulo,35,19,3501905,Amparo,NÃO,CLARO,9,14,16,null
Bahia,29,71,2905701,Camaçari,NÃO,CLARO,50,64,65,26
Paraíba,25,83,2507309,Jacaraú,NÃO,TIM,null,null,1,null
Piauí,22,86,2206951,Novo Santo Antônio,NÃO,VIVO,1,1,1,null
Minas Gerais,31,37,3145604,Oliveira,NÃO,ALGAR,null,3,null,null
Paraíba,25,83,2501575,Barra de Santana,NÃO,VIVO,1,2,1,null
Pará,15,94,1508084,Tucumã,NÃO,VIVO,3,4,6,null
Rondônia,11,69,1100908,Castanheiras,NÃO,TIM,1,null,1,null
Santa Catarina,42,49,4204301,Concórdia,NÃO,TIM,5,9,11,7
Santa Catarina,42,47,4211108,Monte Castelo,NÃO,VIVO,1,1,1,null
Minas Gerais,31,34,3115805,Centralina,NÃO,ALGAR,2,2,3,null
Maranhão,21,99,2111250,São José dos Basílios,NÃO,CLARO,1,1,1,null
Minas Gerais,31,38,3121605,Diamantina,NÃO,TIM,5,4,5,null
Minas Gerais,31,35,3169109,Toledo,NÃO,CLARO,null,1,1,null
Rio de Janeiro,33,22,3301157,Cardoso Moreira,NÃO,CLARO,2,1,2,null
Pará,15,91,1505601,Peixe-Boi,NÃO,TIM,null,2,2,null
São Paulo,35,17,3519402,Ibirá,NÃO,TIM,3,2,3,null
Rio Grande do Sul,43,55,4319208,São Nicolau,NÃO,CLARO,1,1,1,null
Minas Gerais,31,35,3117801,Conceição dos Ouros,NÃO,TIM,2,1,1,null
São Paulo,35,13,3520301,Iguape,NÃO,VIVO,2,5,5,1
Paraná,41,44,4109906,Icaraíma,NÃO,TIM,1,2,2,null
Amazonas,13,92,1303536,Presidente Figueiredo,NÃO,CLARO,6,2,7,null
Paraná,41,44,4111605,Ivatuba,NÃO,TIM,null,3,3,null
Minas Gerais,31,35,3165578,Senador Amaral,NÃO,VIVO,1,2,2,null
Pernambuco,26,87,2606903,Iguaracy,NÃO,CLARO,1,1,1,null
Espírito Santo,32,28,3203700,Muniz Freire,NÃO,TIM,1,6,3,null
Paraná,41,46,4107850,Flor da Serra do Sul,NÃO,VIVO,null,1,1,null
Ceará,23,88,2307403,Jucás,NÃO,TIM,3,3,3,null
Minas Gerais,31,33,3127701,Governador Valadares,NÃO,VIVO,17,33,47,14
Ceará,23,85,2313807,Uruburetama,NÃO,CLARO,1,1,1,null
Rio Grande do Norte,24,84,2413409,Serra Negra do Norte,NÃO,VIVO,null,1,1,null
Minas Gerais,31,34,3149804,Perdizes,NÃO,VIVO,3,3,4,null
Bahia,29,73,2915601,Itamaraju,NÃO,CLARO,2,2,2,null
São Paulo,35,17,3557105,Votuporanga,NÃO,VIVO,6,9,10,5
Minas Gerais,31,33,3171154,Vermelho Novo,NÃO,CLARO,1,null,1,null
Minas Gerais,31,33,3150000,Pescador,NÃO,CLARO,1,1,1,null
Minas Gerais,31,35,3165800,Senador José Bento,NÃO,VIVO,1,1,1,null
Ceará,23,88,2308708,Morada Nova,NÃO,TIM,3,2,6,null
São Paulo,35,18,3506409,Bilac,NÃO,CLARO,1,1,1,null
Acre,12,68,1200609,Tarauacá,NÃO,VIVO,1,1,2,null
São Paulo,35,11,3501152,Alumínio,NÃO,CLARO,6,5,6,null
Maranhão,21,98,2109403,Primeira Cruz,NÃO,CLARO,1,1,1,null
São Paulo,35,14,3527801,Lupércio,NÃO,TIM,1,1,1,null
Mato Grosso,51,65,5103403,Cuiabá,SIM,CLARO,93,116,124,85
São Paulo,35,16,3519600,Ibitinga,NÃO,VIVO,3,6,7,null
Pernambuco,26,81,2602308,Bonito,NÃO,CLARO,1,1,1,null
Maranhão,21,98,2103125,Central do Maranhão,NÃO,CLARO,1,1,1,null
São Paulo,35,16,3543402,Ribeirão Preto,NÃO,TIM,45,53,84,93
Minas Gerais,31,31,3141108,Matozinhos,NÃO,CLARO,7,6,9,null
Maranhão,21,98,2109908,Santa Inês,NÃO,BRISANET,null,null,1,1
Mato Grosso,51,66,5105606,Matupá,NÃO,TIM,1,null,1,null
Paraná,41,42,4121703,Reserva,NÃO,TIM,1,5,5,1
São Paulo,35,14,3528601,Manduri,NÃO,TIM,2,2,1,null
Rio Grande do Norte,24,84,2405603,Jardim de Piranhas,NÃO,BRISANET,null,null,1,1
Goiás,52,64,5204201,Cachoeira de Goiás,NÃO,TIM,null,1,1,null
Rio Grande do Sul,43,54,4318440,São Jorge,NÃO,TIM,2,null,3,null
Minas Gerais,31,38,3118809,Coração de Jesus,NÃO,VIVO,1,8,9,null
Santa Catarina,42,48,4204608,Criciúma,NÃO,VIVO,9,16,44,23
São Paulo,35,15,3500758,Alambari,NÃO,CLARO,4,4,5,null
Goiás,52,61,5205497,Cidade Ocidental,NÃO,VIVO,3,7,7,null
Minas Gerais,31,38,3125705,Felixlândia,NÃO,CLARO,2,1,2,null
Alagoas,27,82,2709301,União dos Palmares,NÃO,TIM,2,1,2,1
São Paulo,35,17,3553401,Tanabi,NÃO,VIVO,3,3,5,null
Minas Gerais,31,31,3126000,Florestal,NÃO,CLARO,1,1,1,null
Ceará,23,88,2313252,Tarrafas,NÃO,CLARO,2,1,2,null
Santa Catarina,42,48,4200705,Alfredo Wagner,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,55,4320651,Silveira Martins,NÃO,VIVO,1,1,1,null
Ceará,23,88,2303600,Catarina,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,55,4319307,São Paulo das Missões,NÃO,VIVO,1,1,1,null
Minas Gerais,31,32,3169901,Ubá,NÃO,VIVO,7,16,19,6
Paraíba,25,83,2513653,Joca Claudino,NÃO,TIM,1,1,1,null
Pernambuco,26,81,2609402,Moreno,NÃO,VIVO,6,8,9,3
Tocantins,17,63,1707405,Esperantina,NÃO,CLARO,1,2,2,null
São Paulo,35,14,3523503,Itatinga,NÃO,VIVO,4,5,5,1
São Paulo,35,11,3516408,Franco da Rocha,NÃO,TIM,5,6,17,5
Ceará,23,88,2303204,Caririaçu,NÃO,VIVO,null,4,4,null
Sergipe,28,79,2806909,São Francisco,NÃO,VIVO,null,1,1,null
Minas Gerais,31,35,3139904,Maria da Fé,NÃO,CLARO,2,1,2,null
Minas Gerais,31,32,3160702,Santos Dumont,NÃO,TIM,3,3,5,1
Paraná,41,44,4108106,Flórida,NÃO,CLARO,null,1,1,null
São Paulo,35,12,3549607,São José do Barreiro,NÃO,TIM,2,2,1,null
Minas Gerais,31,33,3160959,São Domingos das Dores,NÃO,VIVO,null,1,1,null
Maranhão,21,98,2111300,São Luís,SIM,VIVO,185,228,313,159
Paraná,41,43,4115754,Mauá da Serra,NÃO,VIVO,2,1,2,null
Paraná,41,41,4127882,Tunas do Paraná,NÃO,VIVO,null,1,1,null
Pará,15,94,1507755,Sapucaia,NÃO,CLARO,null,1,1,null
Paraná,41,42,4104428,Candói,NÃO,VIVO,2,1,1,null
Santa Catarina,42,49,4215687,Santa Terezinha do Progresso,NÃO,VIVO,null,1,1,null
São Paulo,35,17,3534203,Orindiúva,NÃO,VIVO,3,2,2,null
Minas Gerais,31,32,3138609,Lima Duarte,NÃO,CLARO,2,3,3,null
São Paulo,35,19,3511706,Charqueada,NÃO,CLARO,3,2,3,null
Maranhão,21,99,2105203,Igarapé Grande,NÃO,CLARO,2,2,2,null
Bahia,29,75,2929008,São Félix,NÃO,TIM,1,1,3,null
São Paulo,35,15,3502903,Araçoiaba da Serra,NÃO,VIVO,7,9,15,6
Amazonas,13,97,1304237,Tonantins,NÃO,VIVO,1,null,null,null
São Paulo,35,13,3551801,Sete Barras,NÃO,TIM,2,1,1,null
Sergipe,28,79,2807105,Simão Dias,NÃO,VIVO,1,3,3,null
Rondônia,11,69,1101559,Teixeirópolis,NÃO,CLARO,1,1,1,null
Goiás,52,64,5210109,Ipameri,NÃO,VIVO,2,1,2,null
Goiás,52,62,5208707,Goiânia,SIM,CLARO,173,235,255,213
Paraná,41,44,4108601,Goioerê,NÃO,CLARO,3,1,3,null
Piauí,22,89,2210359,São Lourenço do Piauí,NÃO,VIVO,1,1,1,null
Minas Gerais,31,33,3102704,Cachoeira de Pajeú,NÃO,TIM,null,1,1,null
Maranhão,21,98,2100204,Alcântara,NÃO,CLARO,1,2,2,null
São Paulo,35,17,3516903,General Salgado,NÃO,VIVO,1,2,4,null
Amazonas,13,97,1302801,Maraã,NÃO,CLARO,1,1,1,null
Bahia,29,75,2922854,Nova Redenção,NÃO,TIM,1,1,1,null
Paraná,41,41,4120804,Quatro Barras,NÃO,TIM,2,3,5,null
Paraná,41,42,4127502,Tibagi,NÃO,CLARO,7,7,7,null
São Paulo,35,18,3519907,Iepê,NÃO,TIM,1,1,1,null
Bahia,29,77,2919959,Maetinga,NÃO,CLARO,2,1,2,null
São Paulo,35,16,3507803,Brodowski,NÃO,ALGAR,1,1,1,null
Rio Grande do Sul,43,54,4302303,Bom Jesus,NÃO,VIVO,1,1,1,null
São Paulo,35,12,3548609,São Bento do Sapucaí,NÃO,TIM,3,2,2,null
São Paulo,35,19,3546702,Santa Gertrudes,NÃO,CLARO,1,3,3,null
Santa Catarina,42,49,4203600,Campos Novos,NÃO,CLARO,4,4,5,null
Bahia,29,75,2919009,Lajedinho,NÃO,CLARO,1,1,1,null
Mato Grosso do Sul,50,67,5002704,Campo Grande,SIM,CLARO,128,161,170,125
Minas Gerais,31,33,3155108,Rio do Prado,NÃO,CLARO,1,null,1,null
Rio Grande do Sul,43,54,4318051,São Domingos do Sul,NÃO,VIVO,1,1,1,null
Minas Gerais,31,32,3103306,Aracitaba,NÃO,VIVO,null,1,1,null
Sergipe,28,79,2801009,Campo do Brito,NÃO,CLARO,1,1,1,null
Rio Grande do Sul,43,54,4315354,Quinze de Novembro,NÃO,CLARO,2,1,2,null
São Paulo,35,12,3544301,Roseira,NÃO,VIVO,1,1,1,null
Bahia,29,73,2920502,Maracás,NÃO,TIM,1,1,1,null
Espírito Santo,32,28,3203320,Marataízes,NÃO,VIVO,4,13,15,9
Paraíba,25,83,2504603,Conde,NÃO,CLARO,5,6,6,null
Rondônia,11,69,1100023,Ariquemes,NÃO,CLARO,6,15,12,1
São Paulo,35,17,3503950,Aspásia,NÃO,VIVO,1,1,1,null
Maranhão,21,99,2105302,Imperatriz,NÃO,TIM,20,21,31,19
Sergipe,28,79,2806602,Santo Amaro das Brotas,NÃO,VIVO,1,1,1,null
Minas Gerais,31,37,3161809,São Gonçalo do Pará,NÃO,CLARO,1,1,1,null
Minas Gerais,31,31,3152303,Porto Firme,NÃO,VIVO,1,2,2,null
São Paulo,35,17,3535002,Palestina,NÃO,VIVO,2,3,3,null
Minas Gerais,31,35,3100807,Aguanil,NÃO,VIVO,1,1,2,null
Minas Gerais,31,31,3136207,João Monlevade,NÃO,VIVO,6,7,7,4
Bahia,29,74,2906006,Campo Formoso,NÃO,CLARO,3,4,4,null
Acre,12,68,1200054,Assis Brasil,NÃO,VIVO,1,null,1,null
Paraíba,25,83,2504306,Catolé do Rocha,NÃO,BRISANET,null,null,8,3
São Paulo,35,19,3526902,Limeira,NÃO,CLARO,28,35,37,11
São Paulo,35,17,3529609,Meridiano,NÃO,CLARO,2,2,2,null
Rio Grande do Sul,43,55,4313102,Nova Palma,NÃO,VIVO,1,1,1,null
Rio Grande do Sul,43,54,4305801,Constantina,NÃO,TIM,1,null,1,null
Bahia,29,77,2923407,Palmas de Monte Alto,NÃO,TIM,1,1,3,null
Paraná,41,45,4125704,São Miguel do Iguaçu,NÃO,TIM,3,3,6,1
Maranhão,21,98,2107407,Olho d'Água das Cunhãs,NÃO,TIM,2,2,2,null
Minas Gerais,31,35,3111309,Campo do Meio,NÃO,CLARO,1,1,1,null
Sergipe,28,79,2806107,Rosário do Catete,NÃO,CLARO,1,1,1,null
Paraíba,25,83,2516300,Sumé,NÃO,VIVO,1,1,1,null
Rio Grande do Norte,24,84,2414753,Venha-Ver,NÃO,TIM,null,1,1,null
